State_Name,District_Name,Crop_Year,Season,Crop,Area,Production
Uttar Pradesh,DEORIA,1997,Rabi       ,Wheat,130934,301647
Uttar Pradesh,DEORIA,1998,Rabi       ,Wheat,137653,326272
Uttar Pradesh,DEORIA,1999,Rabi       ,Wheat,134676,359141
Uttar Pradesh,DEORIA,2000,Rabi       ,Wheat,139398,387008
Uttar Pradesh,DEORIA,2001,Rabi       ,Wheat,142765,374727
Uttar Pradesh,DEORIA,2002,Rabi       ,Wheat,141432,307774
Uttar Pradesh,DEORIA,2003,Rabi       ,Wheat,147656,378573
Uttar Pradesh,DEORIA,2004,Rabi       ,Wheat,147932,350355
Uttar Pradesh,DEORIA,2005,Rabi       ,Wheat,151399,330807
Uttar Pradesh,DEORIA,2006,Rabi       ,Wheat,126116,316501
Uttar Pradesh,DEORIA,2007,Rabi       ,Wheat,146212,402668
Uttar Pradesh,DEORIA,2008,Rabi       ,Wheat,152129,413334
Uttar Pradesh,DEORIA,2009,Rabi       ,Wheat,147477,374592
Uttar Pradesh,DEORIA,2010,Rabi       ,Wheat,148681,440839
Uttar Pradesh,DEORIA,2011,Rabi       ,Wheat,148224,456975
Uttar Pradesh,DEORIA,2012,Rabi       ,Wheat,155756,483934
Uttar Pradesh,DEORIA,2013,Rabi       ,Wheat,156285,472628
Uttar Pradesh,DEORIA,2014,Rabi       ,Wheat,155105,291133
Uttar Pradesh,ETAH,1997,Rabi       ,Wheat,194802,574644
Uttar Pradesh,ETAH,1998,Rabi       ,Wheat,189559,527475
Uttar Pradesh,ETAH,1999,Rabi       ,Wheat,200249,597906
Uttar Pradesh,ETAH,2000,Rabi       ,Wheat,194161,629715
Uttar Pradesh,ETAH,2001,Rabi       ,Wheat,217924,645729
Uttar Pradesh,ETAH,2002,Rabi       ,Wheat,214649,594321
Uttar Pradesh,ETAH,2003,Rabi       ,Wheat,217830,676277
Uttar Pradesh,ETAH,2004,Rabi       ,Wheat,223926,564185
Uttar Pradesh,ETAH,2005,Rabi       ,Wheat,206806,571819
Uttar Pradesh,ETAH,2006,Rabi       ,Wheat,227576,644495
Uttar Pradesh,ETAH,2007,Rabi       ,Wheat,222498,625664
Uttar Pradesh,ETAH,2008,Rabi       ,Wheat,228431,734406
Uttar Pradesh,ETAH,2009,Rabi       ,Wheat,135064,410189
Uttar Pradesh,ETAH,2010,Rabi       ,Wheat,136560,442318
Uttar Pradesh,ETAH,2011,Rabi       ,Wheat,135549,475641
Uttar Pradesh,ETAH,2012,Rabi       ,Wheat,136461,462193
Uttar Pradesh,ETAH,2013,Rabi       ,Wheat,134108,484935
Uttar Pradesh,ETAH,2014,Rabi       ,Wheat,133604,264536
Uttar Pradesh,ETAWAH,1997,Rabi       ,Wheat,81044,193022
Uttar Pradesh,ETAWAH,1998,Rabi       ,Wheat,81639,258737
Uttar Pradesh,ETAWAH,1999,Rabi       ,Wheat,84513,261279
Uttar Pradesh,ETAWAH,2000,Rabi       ,Wheat,87411,239666
Uttar Pradesh,ETAWAH,2001,Rabi       ,Wheat,87152,259933
Uttar Pradesh,ETAWAH,2002,Rabi       ,Wheat,85848,267416
Uttar Pradesh,ETAWAH,2003,Rabi       ,Wheat,88351,275992
Uttar Pradesh,ETAWAH,2004,Rabi       ,Wheat,89322,252425
Uttar Pradesh,ETAWAH,2005,Rabi       ,Wheat,88995,271969
Uttar Pradesh,ETAWAH,2006,Rabi       ,Wheat,88342,285080
Uttar Pradesh,ETAWAH,2007,Rabi       ,Wheat,91660,254906
Uttar Pradesh,ETAWAH,2008,Rabi       ,Wheat,93502,325667
Uttar Pradesh,ETAWAH,2009,Rabi       ,Wheat,93568,272624
Uttar Pradesh,ETAWAH,2010,Rabi       ,Wheat,94864,334111
Uttar Pradesh,ETAWAH,2011,Rabi       ,Wheat,94353,363087
Uttar Pradesh,ETAWAH,2012,Rabi       ,Wheat,93695,366688
Uttar Pradesh,ETAWAH,2013,Rabi       ,Wheat,96592,360658
Uttar Pradesh,ETAWAH,2014,Rabi       ,Wheat,96640,164868
Uttar Pradesh,FAIZABAD,1997,Rabi       ,Wheat,99193,237786
Uttar Pradesh,FAIZABAD,1998,Rabi       ,Wheat,98090,218734
Uttar Pradesh,FAIZABAD,1999,Rabi       ,Wheat,95938,251946
Uttar Pradesh,FAIZABAD,2000,Rabi       ,Wheat,97812,230591
Uttar Pradesh,FAIZABAD,2001,Rabi       ,Wheat,98729,236163
Uttar Pradesh,FAIZABAD,2002,Rabi       ,Wheat,97663,212781
Uttar Pradesh,FAIZABAD,2003,Rabi       ,Wheat,79203,208895
Uttar Pradesh,FAIZABAD,2004,Rabi       ,Wheat,79102,188020
Uttar Pradesh,FAIZABAD,2005,Rabi       ,Wheat,76155,198841
Uttar Pradesh,FAIZABAD,2006,Rabi       ,Wheat,78887,211812
Uttar Pradesh,FAIZABAD,2007,Rabi       ,Wheat,79242,218549
Uttar Pradesh,FAIZABAD,2008,Rabi       ,Wheat,103796,292601
Uttar Pradesh,FAIZABAD,2009,Rabi       ,Wheat,108013,282454
Uttar Pradesh,FAIZABAD,2010,Rabi       ,Wheat,108951,307133
Uttar Pradesh,FAIZABAD,2011,Rabi       ,Wheat,109023,322926
Uttar Pradesh,FAIZABAD,2012,Rabi       ,Wheat,108071,319782
Uttar Pradesh,FAIZABAD,2013,Rabi       ,Wheat,109098,269145
Uttar Pradesh,FAIZABAD,2014,Rabi       ,Wheat,110261,227138
Uttar Pradesh,FARRUKHABAD,1997,Rabi       ,Wheat,94534,292795
Uttar Pradesh,FARRUKHABAD,1998,Rabi       ,Wheat,77647,236235
Uttar Pradesh,FARRUKHABAD,1999,Rabi       ,Wheat,74750,252911
Uttar Pradesh,FARRUKHABAD,2000,Rabi       ,Wheat,75611,252984
Uttar Pradesh,FARRUKHABAD,2001,Rabi       ,Wheat,77062,258113
Uttar Pradesh,FARRUKHABAD,2002,Rabi       ,Wheat,72818,231451
Uttar Pradesh,FARRUKHABAD,2003,Rabi       ,Wheat,72123,238044
Uttar Pradesh,FARRUKHABAD,2004,Rabi       ,Wheat,73316,214029
Uttar Pradesh,FARRUKHABAD,2005,Rabi       ,Wheat,73872,230729
Uttar Pradesh,FARRUKHABAD,2006,Rabi       ,Wheat,70779,230669
Uttar Pradesh,FARRUKHABAD,2007,Rabi       ,Wheat,70024,221827
Uttar Pradesh,FARRUKHABAD,2008,Rabi       ,Wheat,71375,245276
Uttar Pradesh,FARRUKHABAD,2009,Rabi       ,Wheat,72185,249945
Uttar Pradesh,FARRUKHABAD,2010,Rabi       ,Wheat,73371,263012
Uttar Pradesh,FARRUKHABAD,2011,Rabi       ,Wheat,74481,282655
Uttar Pradesh,FARRUKHABAD,2012,Rabi       ,Wheat,75378,272429
Uttar Pradesh,FARRUKHABAD,2013,Rabi       ,Wheat,75776,263950
Uttar Pradesh,FARRUKHABAD,2014,Rabi       ,Wheat,77049,180327
Uttar Pradesh,FATEHPUR,1997,Rabi       ,Wheat,140168,333772
Uttar Pradesh,FATEHPUR,1998,Rabi       ,Wheat,144452,338608
Uttar Pradesh,FATEHPUR,1999,Rabi       ,Wheat,145628,371498
Uttar Pradesh,FATEHPUR,2000,Rabi       ,Wheat,147261,341041
Uttar Pradesh,FATEHPUR,2001,Rabi       ,Wheat,150750,379008
Uttar Pradesh,FATEHPUR,2002,Rabi       ,Wheat,148593,364425
Uttar Pradesh,FATEHPUR,2003,Rabi       ,Wheat,151769,398603
Uttar Pradesh,FATEHPUR,2004,Rabi       ,Wheat,151430,362240
Uttar Pradesh,FATEHPUR,2005,Rabi       ,Wheat,150047,323915
Uttar Pradesh,FATEHPUR,2006,Rabi       ,Wheat,147236,363910
Uttar Pradesh,FATEHPUR,2007,Rabi       ,Wheat,151705,390680
Uttar Pradesh,FATEHPUR,2008,Rabi       ,Wheat,156740,454552
Uttar Pradesh,FATEHPUR,2009,Rabi       ,Wheat,161632,442702
Uttar Pradesh,FATEHPUR,2010,Rabi       ,Wheat,163606,535491
Uttar Pradesh,FATEHPUR,2011,Rabi       ,Wheat,169259,554352
Uttar Pradesh,FATEHPUR,2012,Rabi       ,Wheat,170681,560591
Uttar Pradesh,FATEHPUR,2013,Rabi       ,Wheat,174453,595895
Uttar Pradesh,FATEHPUR,2014,Rabi       ,Wheat,174246,341436
Uttar Pradesh,FIROZABAD,1997,Rabi       ,Wheat,91897,245553
Uttar Pradesh,FIROZABAD,1998,Rabi       ,Wheat,97789,281877
Uttar Pradesh,FIROZABAD,1999,Rabi       ,Wheat,100733,320940
Uttar Pradesh,FIROZABAD,2000,Rabi       ,Wheat,109295,305190
Uttar Pradesh,FIROZABAD,2001,Rabi       ,Wheat,110573,322196
Uttar Pradesh,FIROZABAD,2002,Rabi       ,Wheat,105238,299221
Uttar Pradesh,FIROZABAD,2003,Rabi       ,Wheat,104505,330205
Uttar Pradesh,FIROZABAD,2004,Rabi       ,Wheat,102786,288431
Uttar Pradesh,FIROZABAD,2005,Rabi       ,Wheat,99965,310091
Uttar Pradesh,FIROZABAD,2006,Rabi       ,Wheat,105443,309475
Uttar Pradesh,FIROZABAD,2007,Rabi       ,Wheat,95100,312308
Uttar Pradesh,FIROZABAD,2008,Rabi       ,Wheat,88042,304153
Uttar Pradesh,FIROZABAD,2009,Rabi       ,Wheat,105758,355770
Uttar Pradesh,FIROZABAD,2010,Rabi       ,Wheat,101839,371203
Uttar Pradesh,FIROZABAD,2011,Rabi       ,Wheat,104278,376548
Uttar Pradesh,FIROZABAD,2012,Rabi       ,Wheat,99498,368839
Uttar Pradesh,FIROZABAD,2013,Rabi       ,Wheat,96543,348520
Uttar Pradesh,FIROZABAD,2014,Rabi       ,Wheat,97764,188098
Uttar Pradesh,GAUTAM BUDDHA NAGAR,1997,Rabi       ,Wheat,69804,238346
Uttar Pradesh,GAUTAM BUDDHA NAGAR,1998,Rabi       ,Wheat,69684,210070
Uttar Pradesh,GAUTAM BUDDHA NAGAR,1999,Rabi       ,Wheat,74396,243924
Uttar Pradesh,GAUTAM BUDDHA NAGAR,2000,Rabi       ,Wheat,77919,265801
Uttar Pradesh,GAUTAM BUDDHA NAGAR,2001,Rabi       ,Wheat,71796,268049
Uttar Pradesh,GAUTAM BUDDHA NAGAR,2002,Rabi       ,Wheat,70172,234401
Uttar Pradesh,GAUTAM BUDDHA NAGAR,2003,Rabi       ,Wheat,64627,206086
Uttar Pradesh,GAUTAM BUDDHA NAGAR,2004,Rabi       ,Wheat,63852,203720
